,postDate,headline,articleHTML,Unnamed: 0,date,ticker,daily_change
0,2017-03-06,Airlines sink on Delta forecast  ,"Should investors buy the dip in the airlines sector? The ""Fast Money"" traders discuss.Should investors buy the dip in the airlines sector? The ""Fast Money"" traders discuss.Should investors buy the dip in the airlines sector? The ""Fast Money"" traders discuss.Should investors buy the dip in the airlines sector? The ""Fast Money"" traders discuss.",236,2017-03-06,DAL,0.025865252786620403
1,2017-04-05,Delta and Airbus getting recognition for new designs  ,Both airlines are getting praise for their newest innovations.Both airlines are getting praise for their newest innovations.Both airlines are getting praise for their newest innovations.Both airlines are getting praise for their newest innovations.,214,2017-04-05,DAL,0.0006652622487289345
2,2017-04-12,Analyst keeps strong buy on Delta & United  ,"Jim Corridore, CFRA Research airline analyst, makes the bull case for United Airlines and Delta Air Lines.Jim Corridore, CFRA Research airline analyst, makes the bull case for United Airlines and Delta Air Lines.Jim Corridore, CFRA Research airline analyst, makes the bull case for United Airlines and Delta Air Lines.Jim Corridore, CFRA Research airline analyst, makes the bull case for United Airlines and Delta Air Lines.",209,2017-04-12,DAL,0.005313273513775554
3,2017-05-25,"“Fast Money” final trades: SBUX, DAL & more  ","The “Fast Money” traders discuss their final trades for the day including Starbucks, CME Group, Compania Cervecerias, Delta Airlines.The “Fast Money” traders discuss their final trades for the day including Starbucks, CME Group, Compania Cervecerias, Delta Airlines.The “Fast Money” traders discuss their final trades for the day including Starbucks, CME Group, Compania Cervecerias, Delta Airlines.The “Fast Money” traders discuss their final trades for the day including Starbucks, CME Group, Compania Cervecerias, Delta Airlines.",179,2017-05-25,DAL,-0.030827463795259483
4,2017-05-31,JetBlue to test facial recognition for boarding  ,CNBC's Phil LeBeau reports that airlines like JetBlue and Delta are looking to facial recognition to help passengers at the airport.CNBC's Phil LeBeau reports that airlines like JetBlue and Delta are looking to facial recognition to help passengers at the airport.CNBC's Phil LeBeau reports that airlines like JetBlue and Delta are looking to facial recognition to help passengers at the airport.CNBC's Phil LeBeau reports that airlines like JetBlue and Delta are looking to facial recognition to help passengers at the airport.,176,2017-05-31,DAL,-0.0014258073502135852
5,2017-07-12,Here's what to expect from Delta earnings  ,CNBC contributor Dan Nathan reports on the increase in options calls for Delta Airlines.CNBC contributor Dan Nathan reports on the increase in options calls for Delta Airlines.CNBC contributor Dan Nathan reports on the increase in options calls for Delta Airlines.CNBC contributor Dan Nathan reports on the increase in options calls for Delta Airlines.,147,2017-07-12,DAL,-0.021866760479962333
6,2018-01-30,Delta CEO: We applaud Trump on Qatar agreement  ,CNBC's Phil LeBeau reports on Delta's response to the U.S. government's deal with Qatar Airlines on their U.S. expansion plans.CNBC's Phil LeBeau reports on Delta's response to the U.S. government's deal with Qatar Airlines on their U.S. expansion plans.CNBC's Phil LeBeau reports on Delta's response to the U.S. government's deal with Qatar Airlines on their U.S. expansion plans.CNBC's Phil LeBeau reports on Delta's response to the U.S. government's deal with Qatar Airlines on their U.S. expansion plans.,8,2018-01-30,DAL,-0.006435488781991729
